step,strain,stress
unloading4,0.0419239908,628.0027517394
unloading4,0.0416697179,597.4263157764
unloading4,0.0414151862,565.0508089915
unloading4,0.0413649531,563.2532917714
unloading4,0.0413107065,533.5701768123
unloading4,0.0411062784,502.0926518366
unloading4,0.0410511255,466.112789001
unloading4,0.0408468269,435.5347994362
unloading4,0.0405921657,402.2597572404
unloading4,0.0402379445,371.6864284809
unloading4,0.0401333353,339.3062608907
unloading4,0.0399289072,307.828735915
unloading4,0.0396240128,272.7561764991
unloading4,0.0394698179,243.0761687435
unloading4,0.0391654414,211.6017509713
unloading4,0.0389111686,181.0253150083
unloading4,0.0386065332,147.7518264142
unloading4,0.0384522087,117.1722832477
unloading4,0.0381474438,82.9992592427
unloading4,0.0379932489,53.3192514871
unloading4,0.0375890535,22.7474763293
reloading4,0.0372880431,14.6609792414
reloading4,0.0373925229,46.1416114206
reloading4,0.0373974426,80.3239570361
reloading4,0.0376521038,113.5989992319
reloading4,0.0379563508,144.1738815932
reloading4,0.0381106753,174.7534247597
reloading4,0.0383151034,206.2309497354
reloading4,0.0384700751,241.3081699566
reloading4,0.0387238301,268.2864642759
reloading4,0.0388290866,305.1643089207
reloading4,0.0389333074,334.845870278
reloading4,0.0390880202,368.1240196773
reloading4,0.0391926294,400.5041872674
reloading4,0.0395469801,431.9770514379
reloading4,0.0397516671,465.2536472355
reloading4,0.0397561985,496.7373866181
reloading4,0.0399608855,530.0139824157
reloading4,0.0402152878,561.4899537897
reloading4,0.0403696122,592.0694969562
reloading4,0.0406245324,627.1436099739
reloading4,0.040828831,657.7215995386
reloading4,0.0410333886,690.0986599253
reloading4,0.0410878941,721.5808457062
reloading4,0.0413922706,753.0552634784
reloading4,0.0414970092,786.3349664795
reloading4,0.0417013078,816.9129560443
reloading4,0.0419061243,851.0890872528
reloading4,0.0421102935,880.7675414066
reloading4,0.0423649547,914.0425836024
reloading4,0.042619357,945.5185549764
reloading4,0.0427739404,977.8971689648
reloading4,0.0432282394,1009.3669259317
reloading4,0.0436821501,1038.1380766659
reloading4,0.043986656,1070.512029849
reloading4,0.0447408002,1101.9724652055
loading5,0.0459924853,1118.1252625587
loading5,0.0477915562,1118.0693328958
loading5,0.0496408601,1119.8109204531
loading5,0.051340112,1120.6576334047
loading5,0.0531395712,1123.3003099746
unloading5,0.0538373973,1110.6850637971
unloading5,0.0536321925,1073.8103263558
unloading5,0.0537272211,1039.6248735368
unloading5,0.0534229741,1009.0499911756
unloading5,0.0531184681,976.6760379924
unloading5,0.0529640142,945.196959415
unloading5,0.0530594313,913.7101128288
unloading5,0.0527049511,881.3377132474
unloading5,0.052500782,851.6592590935
unloading5,0.052295836,816.5835924741
unloading5,0.0520416927,786.906691922
unloading5,0.0519867987,752.7258999083
unloading5,0.0518323448,721.2468213308
unloading5,0.0515779425,689.7708499569
unloading5,0.0515233075,657.389128765
unloading5,0.05131875,625.0120683784
unloading5,0.0512142703,593.5314361992
unloading5,0.0509597385,561.1559294143
unloading5,0.0506552326,528.7819762311
unloading5,0.0505007787,497.3028976537
unloading5,0.0503461953,464.9242836653
unloading5,0.0500414304,430.7512596603
unloading5,0.0499369507,399.2706274811
unloading5,0.0496325742,367.7962097089
unloading5,0.0494280167,335.4191493223
unloading5,0.0492238475,305.7406951684
unloading5,0.0489189532,270.6681357525
unloading5,0.0489146807,240.9834671917
unloading5,0.0485599417,206.8119967884
unloading5,0.0484056172,176.2324536219
unloading5,0.0481011113,143.8585004387
unloading5,0.0478966832,112.380975463
unloading5,0.0474922289,80.0101294834
unloading5,0.0472881892,51.2312107405
unloading5,0.0469835538,17.9577221464
reloading5,0.0463848992,25.1726486548
reloading5,0.0464897674,59.3518870668
reloading5,0.0467937554,88.1276986062
reloading5,0.0470982614,120.5016517894
reloading5,0.0472024822,150.1832131467
reloading5,0.0473570655,182.5618271351
reloading5,0.047562141,218.5370291655
reloading5,0.0478662585,248.2123761158
reloading5,0.0479708677,280.5925437059
reloading5,0.0481254511,312.9711576943
reloading5,0.0483300086,345.3482180809
reloading5,0.0484343589,375.9293148492
